"estrato","upm","factor","programa","ingreso","score"
"Baja","B17",1600,0,13790,82
"Baja","B17",1600,0,11805,70
"Baja","B17",1600,0,13550,72
"Baja","B17",1600,0,12201,74
"Baja","B17",1600,0,13556,75
"Baja","B17",1600,0,13791,83
"Baja","B17",1600,0,12216,73
"Baja","B17",1600,0,13170,85
"Baja","B18",1600,0,13694,85
"Baja","B18",1600,0,15044,93
"Baja","B18",1600,0,16367,74
"Baja","B18",1600,0,14557,80
"Baja","B18",1600,0,14143,78
"Baja","B18",1600,1,14663,91
"Baja","B18",1600,0,13530,82
"Baja","B18",1600,0,13247,89
"Baja","B18",1600,0,12600,80
"Baja","B18",1600,0,10709,85
"Baja","B19",1600,0,11465,79
"Baja","B19",1600,1,13151,74
"Baja","B19",1600,0,13270,72
"Baja","B19",1600,0,12281,73
"Baja","B19",1600,1,14666,75
"Baja","B19",1600,0,11061,66
"Baja","B19",1600,0,10513,73
"Baja","B19",1600,0,10852,76
"Baja","B19",1600,0,10635,82
"Baja","B19",1600,0,11115,82
"Baja","B20",1600,0,10182,66
"Baja","B20",1600,0,13017,71
"Baja","B20",1600,0,10936,72
"Baja","B20",1600,0,11154,76
"Baja","B20",1600,0,9308,76
"Baja","B20",1600,0,14373,69
"Baja","B20",1600,0,11199,72
"Baja","B20",1600,0,13637,69
"Baja","B20",1600,0,10530,78
"Baja","B20",1600,0,12929,72
"Baja","B21",1600,0,11378,87
"Baja","B21",1600,0,10523,80
"Baja","B21",1600,0,12381,86
"Baja","B21",1600,0,12128,92
"Baja","B21",1600,0,12475,95
"Baja","B21",1600,0,11367,77
"Baja","B21",1600,0,13369,92
"Baja","B21",1600,0,13408,91
"Baja","B21",1600,0,14941,78
"Baja","B21",1600,0,15920,84
"Baja","B22",1600,0,12212,76
"Baja","B22",1600,1,11920,83
"Baja","B22",1600,0,12971,68
"Baja","B22",1600,0,11465,80
"Baja","B22",1600,0,14693,71
"Baja","B22",1600,0,11087,64
"Baja","B22",1600,0,10054,62
"Baja","B22",1600,1,12574,81
"Baja","B22",1600,0,9408,75
"Baja","B22",1600,0,12152,70
"Baja","B23",1600,0,10666,82
"Baja","B23",1600,0,14717,88
"Baja","B23",1600,0,13549,79
"Baja","B23",1600,1,11112,92
"Baja","B23",1600,0,13973,82
"Baja","B23",1600,0,12559,87
"Baja","B23",1600,1,11108,83
"Baja","B23",1600,0,13145,79
"Baja","B23",1600,0,14994,86
"Baja","B23",1600,0,13133,81
"Baja","B24",1600,0,13455,71
"Baja","B24",1600,0,13609,76
"Baja","B24",1600,0,12571,76
"Baja","B24",1600,0,13589,78
"Baja","B24",1600,0,17697,67
"Baja","B24",1600,0,13357,75
"Baja","B24",1600,0,12469,78
"Baja","B24",1600,1,15956,76
"Baja","B24",1600,0,15293,75
"Baja","B24",1600,0,16405,83
"Baja","B25",1600,0,11479,77
"Baja","B25",1600,0,11808,76
"Baja","B25",1600,0,12994,79
"Baja","B25",1600,0,10340,79
"Baja","B25",1600,0,11506,93
"Baja","B25",1600,0,11676,85
"Baja","B25",1600,1,12912,87
"Baja","B25",1600,0,11293,85
"Baja","B25",1600,0,12372,78
"Baja","B25",1600,1,10071,86
